ano_entrada,propprivado,proppublico,proppolitico,propecono
1889,"0,750	","0,000	","0,250	",0
1891,"0,000	","0,261	","0,739	",0
1891,"0,000	","0,333	","0,667	",0
1891,"0,679	","0,000	","0,321	",0
1892,"0,000	","0,625	","0,375	",0
1893,"0,750	","0,000	","0,250	",0
1894,"0,528	","0,056	","0,417	",0
1896,"0,596	","0,000	","0,404	",0
1898,"0,793	","0,034	","0,172	",0
1902,"0,000	","0,167	","0,833	",0
1902,"0,158	","0,000	","0,842	",0
1906,"0,250	","0,375	","0,375	",0
1909,"0,125	","0,208	","0,667	",0
1910,"0,136	","0,227	","0,636	",0
1913,"0,318	","0,136	","0,545	",0
1914,"0,000	","0,136	","0,864	",0
1915,"0,286	","0,071	","0,643	",0
1917,"0,469	","0,125	","0,375	","0,031"
1919,"0,400	","0,486	","0,114	",0
1919,"0,846	","0,154	","0,000	",0
1919,"0,636	","0,121	","0,242	",0
1922,"0,375	","0,250	","0,375	",0
1925,"0,833	","0,033	","0,133	",0
1926,"0,350	","0,000	","0,650	",0
1927,"0,324	","0,000	","0,676	",0
1930,"0,935	","0,043	","0,022	",0
1931,"0,462	","0,231	","0,308	",0
1934,"0,920	","0,080	","0,000	",0
1945,"0,628	","0,256	","0,116	",0
1946,"0,809	","0,128	","0,064	",0
1946,"0,667	","0,208	","0,125	",0
1949,"0,875	","0,125	","0,000	",0
1951,"0,743	","0,000	","0,200	","0,057"
1953,"0,459	","0,432	","0,108	",0
1954,"0,817	","0,070	","0,000	","0,113"
1955,"0,915	","0,064	","0,021	",0
1955,"0,000	","0,250	","0,750	",0
1956,"0,345	","0,310	","0,310	","0,034"
1958,"0,222	","0,667	","0,000	","0,111"
1959,"0,852	","0,148	","0,000	",0
1961,"0,811	","0,068	","0,122	",0
1961,"0,846	","0,154	","0,000	",0
1962,"0,900	","0,025	","0,075	",0
1963,"0,879	","0,030	","0,091	",0
1963,"0,000	","0,368	","0,211	","0,421"
1963,"0,949	","0,051	","0,000	",0
1964,"0,154	","0,692	","0,000	","0,154"
1967,"0,188	","0,063	","0,000	","0,75"
1974,"0,655	","0,071	","0,000	","0,274"
1979,"0,636	","0,364	","0,000	",0
1980,"0,333	","0,333	","0,000	","0,333"
1985,"0,000	","0,500	","0,000	","0,5"
1985,"0,773	","0,227	","0,000	",0
1987,"0,500	","0,086	","0,000	","0,414"
1988,"0,000	","0,556	","0,000	","0,444"
1990,"0,115	","0,154	","0,000	","0,731"
1991,"0,517	","0,448	","0,000	","0,034"
1992,"0,000	","0,333	","0,667	",0
1992,"0,000	","0,167	","0,000	","0,833"
1993,"0,822	","0,178	","0,000	",0
1993,"0,000	","0,182	","0,818	",0
1994,"0,000	","0,444	","0,000	","0,556"
1994,"0,154	","0,000	","0,846	",0
1995,"0,000	","0,216	","0,000	","0,784"
1999,"0,000	","0,293	","0,000	","0,707"
2003,"0,000	","0,000	","1,000	",0
2006,"0,000	","0,250	","0,000	","0,75"
2007,"0,000	","0,455	","0,000	","0,545"
2011,"0,000	","0,600	","0,000	","0,4"
2015,"0,174	","0,304	","0,000	","0,522"
2015,"0,051	","0,385	","0,000	","0,564"
